fips,lat,lon
013157,34.129495,-083.599045
013159,33.358288,-083.726512
013161,31.847814,-082.600257
013163,33.068980,-082.408116
013165,32.789871,-081.947165
013167,32.699439,-082.684511
013169,32.961196,-083.550237
013171,33.084155,-084.154394
013173,31.037307,-083.097639
013175,32.517494,-082.925405
013177,31.680634,-084.177116
013179,31.828772,-081.577700
013181,33.780601,-082.445454
013183,31.775868,-081.731661
013185,30.860299,-083.281437
013187,34.524477,-083.988151
013189,33.459579,-082.468712
013191,31.480147,-081.405656
013193,32.324124,-084.039478
013195,34.101336,-083.240303
013197,32.382601,-084.524649
013199,33.016626,-084.675396
013201,31.160435,-084.738302
013205,31.218188,-084.171176
013207,33.037037,-083.909101
013209,32.173336,-082.529480
013211,33.600047,-083.485701
013213,34.781729,-084.791640
013215,32.495642,-084.928926
013217,33.570575,-083.898026
013219,33.876988,-083.464103
013221,33.918851,-083.147433
013223,33.913898,-084.814237
013225,32.589118,-083.822766
013227,34.455831,-084.436004
013229,31.313022,-082.242367
013231,33.104780,-084.366582
013233,34.010871,-085.174625
013235,32.273393,-083.478958
013237,33.319719,-083.335457
013239,31.859563,-085.078114
013241,34.879707,-083.407047
013243,31.758591,-084.758082
013245,33.427932,-082.051886
013247,33.642136,-084.019225
013249,32.241832,-084.306635
013251,32.722235,-081.629825
013253,30.967903,-084.866698
013255,33.258944,-084.271569
013257,34.558402,-083.289701
013259,32.068608,-084.758019
013261,32.061409,-084.222402
013263,32.700716,-084.582980
013265,33.568965,-082.886099
013267,32.036453,-082.058473
013269,32.559079,-084.209743
013271,32.019316,-082.894969
013273,31.772020,-084.429026
013275,30.869270,-083.947978
013277,31.455071,-083.513873
013279,32.185481,-082.368674
013281,34.940026,-083.782885
013283,32.387282,-082.589236
013285,33.038124,-085.029721
013287,31.702770,-083.638274
013289,32.702269,-083.416707
013291,34.877460,-084.004818
013293,32.907220,-084.325253
013295,34.838709,-085.293092
013297,33.795968,-083.785302
013299,31.226953,-082.383829
013301,33.406673,-082.661562
013303,32.964333,-082.775581
013305,31.610570,-081.916558
013307,32.052450,-084.561824
013309,32.147523,-082.756158
013311,34.599638,-083.743731
013313,34.793647,-084.966305
013315,31.975538,-083.409194
013317,33.757224,-082.752748
013319,32.843967,-083.239243
013321,31.545333,-083.859160
015001,19.672735,-155.428067
015003,21.371521,-157.917219
015005,21.189607,-156.982059
015007,22.019834,-159.438951
015009,20.862853,-156.491993
016001,43.612091,-116.313143
016003,44.843883,-116.383254
016005,42.871117,-112.425092
016007,42.307481,-111.341210
016009,47.273057,-116.644633
016011,43.223106,-112.346259
016013,43.548124,-114.299016
016015,43.906510,-115.985316
016017,48.236490,-116.630197
016019,43.494825,-111.994434
